date,campaign_id,country,publisher,os,size,banner name,LP(landing page),Views,Clicks,Spend,Downloads,Installs,Sales
3/7/2014,20763,Ivory Coast,ALL,Win8,Big,simple,LP,330,20,5,15,9,0
3/7/2014,22036,Iran,5135,Vista,Small,BlueFlshOrangeBtn,LP2GB,7899,141,54.5,65,23,2
3/7/2014,22433,Ivory Coast,6406,Win7,Big,CleanOrngbtnCer,LP2GB,84,1,0.3,,,
3/7/2014,21986,Iran,All,Win8,Big,CleanblubtnCer,LP,8807,90,18,22,9,0
3/7/2014,19358,Iran,4814,Win7,Big,simple,LP,313,16,8.32,8,6,0
3/7/2014,19962,Iran,5583,Win7,Small,BlueFlshOrangeBtn,LP,51,1,0.28,0,0,0
3/7/2014,23479,Iran,5372,Win7,Small,Cleanblubtn,LP2OB,1212,234,88.92,150,63,1
3/7/2014,20100,Barbedos,5061,XP,Big,BlueFlshOrangeBtn,LP,5414,52,11.96,25,8,0
3/7/2014,23112,Iran,5059,XP,Big,Clean2orngBtn,LP2OB,24087,282,56.4,135,42,3
3/7/2014,22434,Ivory Coast,6406,Win8,Big,CleanOrngbtnCer,LP2GB,24,0,0,,,
3/7/2014,19958,Iran,5226,Win7,Small,BlueFlshOrangeBtn,LP,1180,17,6.12,1,1,0
3/7/2014,21599,Iran,3761,Vista,Small,BlueFlshOrangeBtn,LP2GB,8001,171,54.01,73,34,1
3/7/2014,20174,Iran,6084,Win8,Small,BlueFlshOrangeBtn,LP,29,1,0.28,1,0,0
3/7/2014,24664,Iran,3761,Win7,Small,GrayGen,LP-GEN1,74096,864,499.82,401,175,9
3/7/2014,21864,Uzbekistan,All,Vista,Big,Clean2GrnBtn,LP2GB,158,15,3.75,8,2,0
3/7/2014,20101,Barbedos,5061,Win8,Big,BlueFlshOrangeBtn,LP,17,0,0,,,
3/7/2014,22984,Ivory Coast,3761,Win8,Small,BlueFlshOrangeBtn,LP,1530,23,13.01,12,6,0
3/7/2014,24677,Iran,5135,Win7,Small,AvailBlack,LP-GEN1,56386,625,389.01,302,126,8
3/7/2014,23113,Iran,5059,Vista,Big,Clean2orngBtn,LP2OB,14292,222,64.38,99,36,1
3/7/2014,19510,Iran,5226,Win7,Small,BlueFlshOrangeBtn,LP,106,1,0.3,0,0,0
3/7/2014,20863,Ivory Coast,4470,Win7,Small,simple,LP,3,1,0.36,1,0,0
3/7/2014,24045,Iran,3761,Vista,Small,CleanOrngbtnCer,LP,6485,82,43.77,53,21,1
3/7/2014,23062,Uzbekistan,6374,Win7,Big,simple,LP2GB,287,0,0,,,
3/7/2014,20556,Uzbekistan,5156,XP,Big,Cleanblubtn,LP,109,0,0.06,,,
3/7/2014,20091,Barbedos,4470,XP,Small,BlueFlshOrangeBtn,LP,1094,16,2.88,7,1,0
